contract_address,chain,protocol,method_id,method,absolute_executions,%,cum %
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x0f3b31b2,,129,0.07%,52.24%
0x7459485ae17249ba10caa81da84e6eb8eb613ac7,base,friend tech,0x1cff79cd,,128,0.07%,52.30%
0xeca7ff920e7162334634c721133f3183b83b0323,base,aerodrome,0xc00007b0,claim,127,0.07%,52.37%
0x00000f312c54d0dd25888ee9cdc3dee988700000,avax,?,0x065573f8,,126,0.07%,52.43%
0xf882c982a95f4d3e8187efe12713835406d11840,base,shitnft,0x51905636,,124,0.06%,52.50%
0xe4750593d1fc8e74b31549212899a72162f315fa,base,baseswap,0x7cbc2373,redeem,123,0.06%,52.56%
0x06bdf212c290473dcacea9793890c5024c7eb02c,eth,prisma finance,0x9e27a51b,claim,121,0.06%,52.62%
0x8d0802559775c70fb505f22988a4fd4a4f6d3b62,eth,eigenlayer,0xd85d3d27,deposit,120,0.06%,52.69%
0xabc000d88f23bb45525e447528dbf656a9d55bf5,base,curve,0x6a627842,,120,0.06%,52.75%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,blur blend,0x736da5ad,,120,0.06%,52.81%
0xa906f338cb21815cbc4bc87ace9e68c87ef8d8f1,arb,gmx,0x30b70002,,120,0.06%,52.87%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x415565b0,,120,0.06%,52.94%
0x87a218ae43c136b3148a45ea1a282517794002c8,bsc,pandra,0x1249c58b,,119,0.06%,53.00%
0x275535f82f287073ceebc653862e4e43868aa65c,base,aerodrome,0xc00007b0,claim,119,0.06%,53.06%
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arb,usdt,0xd505accf,,119,0.06%,53.12%
0x303389f541ff2d620e42832f180a08e767b28e10,eth,1inch,0x7a37dc2c,,118,0.06%,53.18%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,paraswap,0x54e3f31b,,117,0.06%,53.24%
0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c,matic,shitcoin,0x66514c97,,116,0.06%,53.30%
0x2a21a084bab4e13169b7d4f7f50474aa96c94acd,arb,penpie,0x18ee18e0,,115,0.06%,53.36%
0xba12222222228d8ba445958a75a0704d566bf2c8,eth,balancer,0x52bbbe29,swap,115,0.06%,53.42%
0xeffc18fc3b7eb8e676dac549e0c693ad50d1ce31,eth,weth,0x474cf53d,,113,0.06%,53.48%
0x80c7dd17b01855a6d2347444a0fcc36136a314de,base,sushiswap,0xac9650d8,multicall,113,0.06%,53.54%
0xea2f47ac12e00e2fcc8f242561bc53bc288d399a,arb,?,0x6ba4c138,,111,0.06%,53.60%
0xfcd3842f85ed87ba2889b4d35893403796e67ff1,base,leetswap,0x38ed1739,swap,111,0.06%,53.65%
0x89ae36e3b567b914a5e97e6488c6eb5b9c5d0231,arb,sparta dex,0x38ed1739,swap,111,0.06%,53.71%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,base,kyberswap,0xe21fd0e9,,111,0.06%,53.77%
0xadb9d68c613df4aa363b42161e1282117c7b9594,arb,dolomite,0x807cb86a,,110,0.06%,53.83%
0x3668c325501322ceb5a624e95b9e16a019cdebe8,bsc,,0xcfc93274,,109,0.06%,53.88%
0x1111111254eeb25477b68fb85ed929f73a960582,bsc,1inch,0x12aa3caf,swap,109,0.06%,53.94%
